Force (N),Position (mm),Stress (MPa),Strain (%),InFill %,InFill Type,Mesh Type,No of Mesh Layers,Base Material
953,2.1,13.8,4.19,15,Hex,Without mesh,0,PTA
953,2.1,13.8,4.2,15,Hex,Without mesh,0,PTA
954,2.1,13.8,4.2,15,Hex,Without mesh,0,PTA
953,2.1,13.8,4.21,15,Hex,Without mesh,0,PTA
954,2.11,13.8,4.21,15,Hex,Without mesh,0,PTA
953,2.11,13.8,4.22,15,Hex,Without mesh,0,PTA
953,2.11,13.8,4.22,15,Hex,Without mesh,0,PTA
954,2.11,13.8,4.23,15,Hex,Without mesh,0,PTA
953,2.12,13.8,4.23,15,Hex,Without mesh,0,PTA
953,2.12,13.8,4.24,15,Hex,Without mesh,0,PTA
954,2.12,13.8,4.24,15,Hex,Without mesh,0,PTA
953,2.12,13.8,4.25,15,Hex,Without mesh,0,PTA
953,2.13,13.8,4.25,15,Hex,Without mesh,0,PTA
953,2.13,13.8,4.26,15,Hex,Without mesh,0,PTA
953,2.13,13.8,4.26,15,Hex,Without mesh,0,PTA
953,2.13,13.8,4.27,15,Hex,Without mesh,0,PTA
953,2.14,13.8,4.27,15,Hex,Without mesh,0,PTA
953,2.14,13.8,4.28,15,Hex,Without mesh,0,PTA
953,2.14,13.8,4.28,15,Hex,Without mesh,0,PTA
953,2.14,13.8,4.29,15,Hex,Without mesh,0,PTA
953,2.15,13.8,4.29,15,Hex,Without mesh,0,PTA
953,2.15,13.8,4.3,15,Hex,Without mesh,0,PTA
953,2.15,13.8,4.3,15,Hex,Without mesh,0,PTA
953,2.15,13.8,4.31,15,Hex,Without mesh,0,PTA
953,2.16,13.8,4.31,15,Hex,Without mesh,0,PTA
953,2.16,13.8,4.32,15,Hex,Without mesh,0,PTA
953,2.16,13.8,4.32,15,Hex,Without mesh,0,PTA
953,2.17,13.8,4.33,15,Hex,Without mesh,0,PTA
952,2.17,13.8,4.33,15,Hex,Without mesh,0,PTA
952,2.17,13.8,4.34,15,Hex,Without mesh,0,PTA
952,2.17,13.8,4.34,15,Hex,Without mesh,0,PTA
952,2.17,13.8,4.35,15,Hex,Without mesh,0,PTA
952,2.18,13.8,4.35,15,Hex,Without mesh,0,PTA
952,2.18,13.8,4.36,15,Hex,Without mesh,0,PTA
952,2.18,13.8,4.37,15,Hex,Without mesh,0,PTA
952,2.19,13.8,4.37,15,Hex,Without mesh,0,PTA
951,2.19,13.8,4.37,15,Hex,Without mesh,0,PTA
952,2.19,13.8,4.38,15,Hex,Without mesh,0,PTA
951,2.19,13.8,4.39,15,Hex,Without mesh,0,PTA
952,2.2,13.8,4.39,15,Hex,Without mesh,0,PTA
951,2.2,13.8,4.4,15,Hex,Without mesh,0,PTA
951,2.2,13.8,4.4,15,Hex,Without mesh,0,PTA
951,2.2,13.8,4.41,15,Hex,Without mesh,0,PTA
951,2.21,13.8,4.41,15,Hex,Without mesh,0,PTA
951,2.21,13.8,4.42,15,Hex,Without mesh,0,PTA
950,2.21,13.8,4.42,15,Hex,Without mesh,0,PTA
950,2.21,13.8,4.42,15,Hex,Without mesh,0,PTA
949,2.22,13.8,4.43,15,Hex,Without mesh,0,PTA
950,2.22,13.8,4.44,15,Hex,Without mesh,0,PTA
950,2.22,13.8,4.44,15,Hex,Without mesh,0,PTA
949,2.22,13.8,4.45,15,Hex,Without mesh,0,PTA
949,2.23,13.8,4.45,15,Hex,Without mesh,0,PTA
949,2.23,13.8,4.46,15,Hex,Without mesh,0,PTA
949,2.23,13.8,4.46,15,Hex,Without mesh,0,PTA
949,2.23,13.8,4.47,15,Hex,Without mesh,0,PTA
948,2.24,13.8,4.47,15,Hex,Without mesh,0,PTA
948,2.24,13.8,4.48,15,Hex,Without mesh,0,PTA
948,2.24,13.8,4.48,15,Hex,Without mesh,0,PTA
948,2.24,13.8,4.49,15,Hex,Without mesh,0,PTA
947,2.25,13.7,4.49,15,Hex,Without mesh,0,PTA
947,2.25,13.7,4.5,15,Hex,Without mesh,0,PTA
947,2.25,13.7,4.5,15,Hex,Without mesh,0,PTA
947,2.25,13.7,4.51,15,Hex,Without mesh,0,PTA
946,2.26,13.7,4.51,15,Hex,Without mesh,0,PTA
947,2.26,13.7,4.52,15,Hex,Without mesh,0,PTA
946,2.26,13.7,4.52,15,Hex,Without mesh,0,PTA
946,2.26,13.7,4.53,15,Hex,Without mesh,0,PTA
945,2.27,13.7,4.53,15,Hex,Without mesh,0,PTA
945,2.27,13.7,4.54,15,Hex,Without mesh,0,PTA
945,2.27,13.7,4.54,15,Hex,Without mesh,0,PTA
945,2.27,13.7,4.55,15,Hex,Without mesh,0,PTA
945,2.28,13.7,4.55,15,Hex,Without mesh,0,PTA
944,2.28,13.7,4.56,15,Hex,Without mesh,0,PTA
944,2.28,13.7,4.56,15,Hex,Without mesh,0,PTA
943,2.28,13.7,4.57,15,Hex,Without mesh,0,PTA
944,2.29,13.7,4.57,15,Hex,Without mesh,0,PTA
943,2.29,13.7,4.58,15,Hex,Without mesh,0,PTA
944,2.29,13.7,4.58,15,Hex,Without mesh,0,PTA
943,2.29,13.7,4.59,15,Hex,Without mesh,0,PTA
942,2.3,13.7,4.59,15,Hex,Without mesh,0,PTA
942,2.3,13.7,4.6,15,Hex,Without mesh,0,PTA
942,2.3,13.7,4.6,15,Hex,Without mesh,0,PTA
941,2.3,13.7,4.61,15,Hex,Without mesh,0,PTA
941,2.31,13.7,4.61,15,Hex,Without mesh,0,PTA
940,2.31,13.6,4.62,15,Hex,Without mesh,0,PTA
941,2.31,13.7,4.62,15,Hex,Without mesh,0,PTA
941,2.31,13.7,4.63,15,Hex,Without mesh,0,PTA
940,2.32,13.6,4.63,15,Hex,Without mesh,0,PTA
940,2.32,13.6,4.64,15,Hex,Without mesh,0,PTA
940,2.32,13.6,4.64,15,Hex,Without mesh,0,PTA
939,2.32,13.6,4.65,15,Hex,Without mesh,0,PTA
939,2.33,13.6,4.65,15,Hex,Without mesh,0,PTA
939,2.33,13.6,4.66,15,Hex,Without mesh,0,PTA
938,2.33,13.6,4.66,15,Hex,Without mesh,0,PTA
938,2.33,13.6,4.67,15,Hex,Without mesh,0,PTA
937,2.34,13.6,4.67,15,Hex,Without mesh,0,PTA
937,2.34,13.6,4.68,15,Hex,Without mesh,0,PTA
937,2.34,13.6,4.68,15,Hex,Without mesh,0,PTA
937,2.34,13.6,4.69,15,Hex,Without mesh,0,PTA
936,2.35,13.6,4.69,15,Hex,Without mesh,0,PTA
936,2.35,13.6,4.7,15,Hex,Without mesh,0,PTA
936,2.35,13.6,4.7,15,Hex,Without mesh,0,PTA
935,2.35,13.6,4.71,15,Hex,Without mesh,0,PTA
935,2.36,13.6,4.71,15,Hex,Without mesh,0,PTA
934,2.36,13.6,4.72,15,Hex,Without mesh,0,PTA
934,2.36,13.6,4.72,15,Hex,Without mesh,0,PTA
934,2.36,13.5,4.73,15,Hex,Without mesh,0,PTA
933,2.37,13.5,4.73,15,Hex,Without mesh,0,PTA
933,2.37,13.5,4.74,15,Hex,Without mesh,0,PTA
933,2.37,13.5,4.74,15,Hex,Without mesh,0,PTA
932,2.37,13.5,4.75,15,Hex,Without mesh,0,PTA
932,2.38,13.5,4.75,15,Hex,Without mesh,0,PTA
931,2.38,13.5,4.76,15,Hex,Without mesh,0,PTA
931,2.38,13.5,4.76,15,Hex,Without mesh,0,PTA
931,2.38,13.5,4.77,15,Hex,Without mesh,0,PTA
930,2.39,13.5,4.77,15,Hex,Without mesh,0,PTA
930,2.39,13.5,4.78,15,Hex,Without mesh,0,PTA
929,2.39,13.5,4.78,15,Hex,Without mesh,0,PTA
929,2.39,13.5,4.79,15,Hex,Without mesh,0,PTA
929,2.4,13.5,4.79,15,Hex,Without mesh,0,PTA
928,2.4,13.5,4.8,15,Hex,Without mesh,0,PTA
927,2.4,13.5,4.8,15,Hex,Without mesh,0,PTA
927,2.4,13.5,4.81,15,Hex,Without mesh,0,PTA
926,2.41,13.4,4.81,15,Hex,Without mesh,0,PTA
925,2.41,13.4,4.82,15,Hex,Without mesh,0,PTA
925,2.41,13.4,4.82,15,Hex,Without mesh,0,PTA
924,2.41,13.4,4.83,15,Hex,Without mesh,0,PTA
923,2.42,13.4,4.83,15,Hex,Without mesh,0,PTA
922,2.42,13.4,4.84,15,Hex,Without mesh,0,PTA
921,2.42,13.4,4.84,15,Hex,Without mesh,0,PTA
920,2.42,13.4,4.85,15,Hex,Without mesh,0,PTA
919,2.43,13.3,4.85,15,Hex,Without mesh,0,PTA
918,2.43,13.3,4.86,15,Hex,Without mesh,0,PTA
916,2.43,13.3,4.86,15,Hex,Without mesh,0,PTA
914,2.43,13.3,4.87,15,Hex,Without mesh,0,PTA
909,2.44,13.2,4.87,15,Hex,Without mesh,0,PTA
904,2.44,13.1,4.88,15,Hex,Without mesh,0,PTA
897,2.44,13,4.88,15,Hex,Without mesh,0,PTA
-228,2.44,-3.31,4.89,15,Hex,Without mesh,0,PTA
-133,2.45,-1.93,4.9,15,Hex,Without mesh,0,PTA
