Force (N),Position (mm),Stress (MPa),Strain (%),InFill %,InFill Type,Mesh Type,No of Mesh Layers,Base Material
233,0.325,3.38,0.65,15,Hex,Without mesh,0,PTA
234,0.328,3.4,0.655,15,Hex,Without mesh,0,PTA
236,0.33,3.42,0.66,15,Hex,Without mesh,0,PTA
237,0.332,3.45,0.665,15,Hex,Without mesh,0,PTA
239,0.335,3.47,0.67,15,Hex,Without mesh,0,PTA
241,0.338,3.5,0.675,15,Hex,Without mesh,0,PTA
243,0.34,3.52,0.68,15,Hex,Without mesh,0,PTA
245,0.343,3.55,0.685,15,Hex,Without mesh,0,PTA
246,0.345,3.57,0.69,15,Hex,Without mesh,0,PTA
248,0.348,3.59,0.695,15,Hex,Without mesh,0,PTA
250,0.35,3.62,0.7,15,Hex,Without mesh,0,PTA
251,0.353,3.65,0.706,15,Hex,Without mesh,0,PTA
253,0.355,3.67,0.711,15,Hex,Without mesh,0,PTA
254,0.358,3.69,0.715,15,Hex,Without mesh,0,PTA
256,0.36,3.72,0.721,15,Hex,Without mesh,0,PTA
258,0.363,3.74,0.726,15,Hex,Without mesh,0,PTA
260,0.365,3.77,0.731,15,Hex,Without mesh,0,PTA
261,0.368,3.79,0.736,15,Hex,Without mesh,0,PTA
263,0.37,3.81,0.741,15,Hex,Without mesh,0,PTA
264,0.373,3.84,0.746,15,Hex,Without mesh,0,PTA
266,0.375,3.86,0.751,15,Hex,Without mesh,0,PTA
267,0.378,3.88,0.756,15,Hex,Without mesh,0,PTA
269,0.38,3.91,0.761,15,Hex,Without mesh,0,PTA
271,0.383,3.93,0.766,15,Hex,Without mesh,0,PTA
273,0.385,3.96,0.771,15,Hex,Without mesh,0,PTA
274,0.388,3.98,0.776,15,Hex,Without mesh,0,PTA
276,0.39,4,0.781,15,Hex,Without mesh,0,PTA
277,0.393,4.02,0.786,15,Hex,Without mesh,0,PTA
279,0.395,4.05,0.79,15,Hex,Without mesh,0,PTA
280,0.398,4.07,0.796,15,Hex,Without mesh,0,PTA
282,0.4,4.09,0.801,15,Hex,Without mesh,0,PTA
284,0.403,4.12,0.806,15,Hex,Without mesh,0,PTA
286,0.405,4.15,0.811,15,Hex,Without mesh,0,PTA
287,0.408,4.17,0.816,15,Hex,Without mesh,0,PTA
288,0.41,4.19,0.82,15,Hex,Without mesh,0,PTA
290,0.413,4.21,0.825,15,Hex,Without mesh,0,PTA
292,0.415,4.24,0.831,15,Hex,Without mesh,0,PTA
294,0.418,4.26,0.836,15,Hex,Without mesh,0,PTA
295,0.42,4.28,0.841,15,Hex,Without mesh,0,PTA
296,0.423,4.3,0.845,15,Hex,Without mesh,0,PTA
298,0.425,4.33,0.851,15,Hex,Without mesh,0,PTA
