Force (N),Position (mm),Stress (MPa),Strain (%),InFill %,InFill Type,mesh Type,Number of mesh layers,BaseMaterial
938,1.79,14.4,3.58,15,3D,Without Mesh,0,PLA
939,1.79,14.4,3.58,15,3D,Without Mesh,0,PLA
939,1.79,14.5,3.58,15,3D,Without Mesh,0,PLA
940,1.79,14.5,3.59,15,3D,Without Mesh,0,PLA
940,1.8,14.5,3.59,15,3D,Without Mesh,0,PLA
941,1.8,14.5,3.6,15,3D,Without Mesh,0,PLA
942,1.8,14.5,3.6,15,3D,Without Mesh,0,PLA
942,1.8,14.5,3.61,15,3D,Without Mesh,0,PLA
942,1.8,14.5,3.61,15,3D,Without Mesh,0,PLA
943,1.81,14.5,3.61,15,3D,Without Mesh,0,PLA
943,1.81,14.5,3.62,15,3D,Without Mesh,0,PLA
944,1.81,14.5,3.62,15,3D,Without Mesh,0,PLA
944,1.81,14.5,3.63,15,3D,Without Mesh,0,PLA
944,1.82,14.5,3.63,15,3D,Without Mesh,0,PLA
945,1.82,14.5,3.64,15,3D,Without Mesh,0,PLA
945,1.82,14.5,3.64,15,3D,Without Mesh,0,PLA
945,1.82,14.5,3.64,15,3D,Without Mesh,0,PLA
946,1.82,14.6,3.65,15,3D,Without Mesh,0,PLA
946,1.83,14.6,3.65,15,3D,Without Mesh,0,PLA
946,1.83,14.6,3.66,15,3D,Without Mesh,0,PLA
947,1.83,14.6,3.66,15,3D,Without Mesh,0,PLA
947,1.83,14.6,3.67,15,3D,Without Mesh,0,PLA
948,1.84,14.6,3.67,15,3D,Without Mesh,0,PLA
948,1.84,14.6,3.67,15,3D,Without Mesh,0,PLA
949,1.84,14.6,3.68,15,3D,Without Mesh,0,PLA
949,1.84,14.6,3.68,15,3D,Without Mesh,0,PLA
949,1.84,14.6,3.69,15,3D,Without Mesh,0,PLA
950,1.85,14.6,3.69,15,3D,Without Mesh,0,PLA
950,1.85,14.6,3.7,15,3D,Without Mesh,0,PLA
951,1.85,14.6,3.7,15,3D,Without Mesh,0,PLA
950,1.85,14.6,3.71,15,3D,Without Mesh,0,PLA
952,1.85,14.6,3.71,15,3D,Without Mesh,0,PLA
951,1.86,14.6,3.71,15,3D,Without Mesh,0,PLA
952,1.86,14.7,3.72,15,3D,Without Mesh,0,PLA
952,1.86,14.6,3.72,15,3D,Without Mesh,0,PLA
952,1.86,14.7,3.73,15,3D,Without Mesh,0,PLA
953,1.87,14.7,3.73,15,3D,Without Mesh,0,PLA
953,1.87,14.7,3.74,15,3D,Without Mesh,0,PLA
953,1.87,14.7,3.74,15,3D,Without Mesh,0,PLA
953,1.87,14.7,3.74,15,3D,Without Mesh,0,PLA
955,1.87,14.7,3.75,15,3D,Without Mesh,0,PLA
954,1.88,14.7,3.75,15,3D,Without Mesh,0,PLA
955,1.88,14.7,3.76,15,3D,Without Mesh,0,PLA
954,1.88,14.7,3.76,15,3D,Without Mesh,0,PLA
955,1.88,14.7,3.77,15,3D,Without Mesh,0,PLA
955,1.89,14.7,3.77,15,3D,Without Mesh,0,PLA
956,1.89,14.7,3.77,15,3D,Without Mesh,0,PLA
956,1.89,14.7,3.78,15,3D,Without Mesh,0,PLA
956,1.89,14.7,3.78,15,3D,Without Mesh,0,PLA
956,1.89,14.7,3.79,15,3D,Without Mesh,0,PLA
957,1.9,14.7,3.79,15,3D,Without Mesh,0,PLA
957,1.9,14.7,3.8,15,3D,Without Mesh,0,PLA
957,1.9,14.7,3.8,15,3D,Without Mesh,0,PLA
957,1.9,14.7,3.8,15,3D,Without Mesh,0,PLA
957,1.9,14.7,3.81,15,3D,Without Mesh,0,PLA
958,1.91,14.7,3.81,15,3D,Without Mesh,0,PLA
958,1.91,14.7,3.82,15,3D,Without Mesh,0,PLA
958,1.91,14.7,3.82,15,3D,Without Mesh,0,PLA
958,1.91,14.7,3.83,15,3D,Without Mesh,0,PLA
958,1.92,14.7,3.83,15,3D,Without Mesh,0,PLA
958,1.92,14.7,3.84,15,3D,Without Mesh,0,PLA
959,1.92,14.8,3.84,15,3D,Without Mesh,0,PLA
959,1.92,14.7,3.84,15,3D,Without Mesh,0,PLA
959,1.92,14.8,3.85,15,3D,Without Mesh,0,PLA
959,1.93,14.8,3.85,15,3D,Without Mesh,0,PLA
959,1.93,14.8,3.86,15,3D,Without Mesh,0,PLA
959,1.93,14.8,3.86,15,3D,Without Mesh,0,PLA
959,1.93,14.8,3.87,15,3D,Without Mesh,0,PLA
960,1.93,14.8,3.87,15,3D,Without Mesh,0,PLA
959,1.94,14.8,3.87,15,3D,Without Mesh,0,PLA
960,1.94,14.8,3.88,15,3D,Without Mesh,0,PLA
960,1.94,14.8,3.88,15,3D,Without Mesh,0,PLA
960,1.94,14.8,3.89,15,3D,Without Mesh,0,PLA
960,1.95,14.8,3.89,15,3D,Without Mesh,0,PLA
960,1.95,14.8,3.9,15,3D,Without Mesh,0,PLA
960,1.95,14.8,3.9,15,3D,Without Mesh,0,PLA
960,1.95,14.8,3.9,15,3D,Without Mesh,0,PLA
961,1.95,14.8,3.91,15,3D,Without Mesh,0,PLA
960,1.96,14.8,3.91,15,3D,Without Mesh,0,PLA
960,1.96,14.8,3.92,15,3D,Without Mesh,0,PLA
960,1.96,14.8,3.92,15,3D,Without Mesh,0,PLA
961,1.96,14.8,3.93,15,3D,Without Mesh,0,PLA
960,1.97,14.8,3.93,15,3D,Without Mesh,0,PLA
961,1.97,14.8,3.94,15,3D,Without Mesh,0,PLA
961,1.97,14.8,3.94,15,3D,Without Mesh,0,PLA
960,1.97,14.8,3.94,15,3D,Without Mesh,0,PLA
961,1.97,14.8,3.95,15,3D,Without Mesh,0,PLA
960,1.98,14.8,3.95,15,3D,Without Mesh,0,PLA
961,1.98,14.8,3.96,15,3D,Without Mesh,0,PLA
960,1.98,14.8,3.96,15,3D,Without Mesh,0,PLA
960,1.98,14.8,3.97,15,3D,Without Mesh,0,PLA
960,1.99,14.8,3.97,15,3D,Without Mesh,0,PLA
961,1.99,14.8,3.97,15,3D,Without Mesh,0,PLA
960,1.99,14.8,3.98,15,3D,Without Mesh,0,PLA
960,1.99,14.8,3.98,15,3D,Without Mesh,0,PLA
961,1.99,14.8,3.99,15,3D,Without Mesh,0,PLA
961,2,14.8,3.99,15,3D,Without Mesh,0,PLA
960,2,14.8,4,15,3D,Without Mesh,0,PLA
960,2,14.8,4,15,3D,Without Mesh,0,PLA
961,2,14.8,4,15,3D,Without Mesh,0,PLA
960,2,14.8,4.01,15,3D,Without Mesh,0,PLA
960,2.01,14.8,4.01,15,3D,Without Mesh,0,PLA
960,2.01,14.8,4.02,15,3D,Without Mesh,0,PLA
960,2.01,14.8,4.02,15,3D,Without Mesh,0,PLA
960,2.01,14.8,4.03,15,3D,Without Mesh,0,PLA
960,2.02,14.8,4.03,15,3D,Without Mesh,0,PLA
960,2.02,14.8,4.04,15,3D,Without Mesh,0,PLA
960,2.02,14.8,4.04,15,3D,Without Mesh,0,PLA
960,2.02,14.8,4.04,15,3D,Without Mesh,0,PLA
959,2.02,14.8,4.05,15,3D,Without Mesh,0,PLA
959,2.03,14.8,4.05,15,3D,Without Mesh,0,PLA
959,2.03,14.8,4.06,15,3D,Without Mesh,0,PLA
959,2.03,14.8,4.06,15,3D,Without Mesh,0,PLA
959,2.03,14.7,4.07,15,3D,Without Mesh,0,PLA
958,2.03,14.7,4.07,15,3D,Without Mesh,0,PLA
958,2.04,14.7,4.07,15,3D,Without Mesh,0,PLA
958,2.04,14.7,4.08,15,3D,Without Mesh,0,PLA
958,2.04,14.7,4.08,15,3D,Without Mesh,0,PLA
957,2.04,14.7,4.09,15,3D,Without Mesh,0,PLA
958,2.05,14.7,4.09,15,3D,Without Mesh,0,PLA
957,2.05,14.7,4.1,15,3D,Without Mesh,0,PLA
957,2.05,14.7,4.1,15,3D,Without Mesh,0,PLA
956,2.05,14.7,4.1,15,3D,Without Mesh,0,PLA
956,2.05,14.7,4.11,15,3D,Without Mesh,0,PLA
956,2.06,14.7,4.11,15,3D,Without Mesh,0,PLA
956,2.06,14.7,4.12,15,3D,Without Mesh,0,PLA
955,2.06,14.7,4.12,15,3D,Without Mesh,0,PLA
955,2.06,14.7,4.13,15,3D,Without Mesh,0,PLA
954,2.07,14.7,4.13,15,3D,Without Mesh,0,PLA
954,2.07,14.7,4.13,15,3D,Without Mesh,0,PLA
953,2.07,14.7,4.14,15,3D,Without Mesh,0,PLA
953,2.07,14.7,4.14,15,3D,Without Mesh,0,PLA
953,2.07,14.7,4.15,15,3D,Without Mesh,0,PLA
952,2.08,14.6,4.15,15,3D,Without Mesh,0,PLA
950,2.08,14.6,4.16,15,3D,Without Mesh,0,PLA
949,2.08,14.6,4.16,15,3D,Without Mesh,0,PLA
948,2.08,14.6,4.17,15,3D,Without Mesh,0,PLA
944,2.08,14.5,4.17,15,3D,Without Mesh,0,PLA
936,2.09,14.4,4.17,15,3D,Without Mesh,0,PLA
-90.3,2.09,-1.39,4.18,15,3D,Without Mesh,0,PLA
