Force (N),Position (mm),Stress (MPa),Strain (%),InFill %,InFill Type,mesh Type,Number of mesh layers,BaseMaterial
241,0.312,3.71,0.625,15,3D,Without Mesh,0,PLA
243,0.315,3.74,0.629,15,3D,Without Mesh,0,PLA
244,0.317,3.76,0.634,15,3D,Without Mesh,0,PLA
246,0.319,3.79,0.638,15,3D,Without Mesh,0,PLA
247,0.321,3.8,0.642,15,3D,Without Mesh,0,PLA
249,0.323,3.83,0.646,15,3D,Without Mesh,0,PLA
250,0.325,3.85,0.651,15,3D,Without Mesh,0,PLA
252,0.328,3.88,0.655,15,3D,Without Mesh,0,PLA
253,0.33,3.89,0.66,15,3D,Without Mesh,0,PLA
255,0.332,3.92,0.664,15,3D,Without Mesh,0,PLA
256,0.334,3.94,0.668,15,3D,Without Mesh,0,PLA
257,0.336,3.96,0.673,15,3D,Without Mesh,0,PLA
259,0.338,3.98,0.677,15,3D,Without Mesh,0,PLA
260,0.341,4,0.681,15,3D,Without Mesh,0,PLA
262,0.343,4.03,0.686,15,3D,Without Mesh,0,PLA
263,0.345,4.04,0.69,15,3D,Without Mesh,0,PLA
264,0.347,4.07,0.694,15,3D,Without Mesh,0,PLA
265,0.349,4.08,0.699,15,3D,Without Mesh,0,PLA
267,0.352,4.11,0.703,15,3D,Without Mesh,0,PLA
268,0.354,4.13,0.708,15,3D,Without Mesh,0,PLA
270,0.356,4.16,0.712,15,3D,Without Mesh,0,PLA
271,0.358,4.17,0.716,15,3D,Without Mesh,0,PLA
272,0.36,4.19,0.72,15,3D,Without Mesh,0,PLA
274,0.362,4.22,0.725,15,3D,Without Mesh,0,PLA
276,0.365,4.24,0.729,15,3D,Without Mesh,0,PLA
277,0.367,4.26,0.734,15,3D,Without Mesh,0,PLA
278,0.369,4.28,0.738,15,3D,Without Mesh,0,PLA
280,0.371,4.31,0.742,15,3D,Without Mesh,0,PLA
281,0.373,4.32,0.746,15,3D,Without Mesh,0,PLA
283,0.375,4.35,0.751,15,3D,Without Mesh,0,PLA
283,0.378,4.36,0.755,15,3D,Without Mesh,0,PLA
285,0.38,4.39,0.76,15,3D,Without Mesh,0,PLA
286,0.382,4.4,0.764,15,3D,Without Mesh,0,PLA
288,0.384,4.43,0.768,15,3D,Without Mesh,0,PLA
289,0.386,4.45,0.772,15,3D,Without Mesh,0,PLA
291,0.388,4.47,0.777,15,3D,Without Mesh,0,PLA
292,0.391,4.49,0.781,15,3D,Without Mesh,0,PLA
293,0.393,4.51,0.785,15,3D,Without Mesh,0,PLA
295,0.395,4.54,0.79,15,3D,Without Mesh,0,PLA
295,0.397,4.54,0.794,15,3D,Without Mesh,0,PLA
