Force (N),Position (mm),Stress (MPa),Strain (%),InFill %,InFill Type,Mesh Type,Number of mesh layers,Base Material
0.572,0,0.0083,0,15,Triangular,Without mesh,0,PLA
0.657,0,0.00954,0,15,Triangular,Without mesh,0,PLA
0.657,0,0.00954,0,15,Triangular,Without mesh,0,PLA
0.578,0,0.00838,0,15,Triangular,Without mesh,0,PLA
0.532,0,0.00772,0,15,Triangular,Without mesh,0,PLA
0.541,0,0.00785,0,15,Triangular,Without mesh,0,PLA
0.459,0,0.00666,0,15,Triangular,Without mesh,0,PLA
0.425,0,0.00616,0,15,Triangular,Without mesh,0,PLA
0.678,0,0.00983,0,15,Triangular,Without mesh,0,PLA
0.608,0,0.00882,0,15,Triangular,Without mesh,0,PLA
0.694,0,0.0101,0,15,Triangular,Without mesh,0,PLA
0.508,0,0.00737,0,15,Triangular,Without mesh,0,PLA
0.52,0,0.00754,0,15,Triangular,Without mesh,0,PLA
0.581,0,0.00844,0,15,Triangular,Without mesh,0,PLA
0.668,0,0.0097,0,15,Triangular,Without mesh,0,PLA
0.752,0,0.0109,0,15,Triangular,Without mesh,0,PLA
0.557,0,0.00808,0,15,Triangular,Without mesh,0,PLA
0.726,0,0.0105,0,15,Triangular,Without mesh,0,PLA
0.754,0,0.0109,0,15,Triangular,Without mesh,0,PLA
0.501,0,0.00727,0,15,Triangular,Without mesh,0,PLA
0.918,0,0.0133,0,15,Triangular,Without mesh,0,PLA
0.664,0,0.00964,0,15,Triangular,Without mesh,0,PLA
0.683,0,0.00991,0,15,Triangular,Without mesh,0,PLA
0.715,0,0.0104,0,15,Triangular,Without mesh,0,PLA
0.588,0,0.00854,0,15,Triangular,Without mesh,0,PLA
0.871,0,0.0126,0,15,Triangular,Without mesh,0,PLA
0.454,0,0.00659,0,15,Triangular,Without mesh,0,PLA
0.912,0,0.0132,0,15,Triangular,Without mesh,0,PLA
0.268,0,0.00389,0,15,Triangular,Without mesh,0,PLA
1.11,0.0002,0.0162,0.0004,15,Triangular,Without mesh,0,PLA
1.65,0.00234,0.0239,0.00469,15,Triangular,Without mesh,0,PLA
3.82,0.00456,0.0555,0.00912,15,Triangular,Without mesh,0,PLA
5.36,0.00687,0.0778,0.0137,15,Triangular,Without mesh,0,PLA
7.09,0.00929,0.103,0.0186,15,Triangular,Without mesh,0,PLA
8.97,0.0117,0.13,0.0234,15,Triangular,Without mesh,0,PLA
10.4,0.0141,0.15,0.0282,15,Triangular,Without mesh,0,PLA
12.8,0.0164,0.186,0.0329,15,Triangular,Without mesh,0,PLA
14.5,0.0189,0.21,0.0379,15,Triangular,Without mesh,0,PLA
16.6,0.0213,0.241,0.0425,15,Triangular,Without mesh,0,PLA
18.5,0.0238,0.269,0.0476,15,Triangular,Without mesh,0,PLA
21.1,0.0262,0.306,0.0524,15,Triangular,Without mesh,0,PLA
22.2,0.0286,0.322,0.0572,15,Triangular,Without mesh,0,PLA
24.4,0.031,0.354,0.062,15,Triangular,Without mesh,0,PLA
25.9,0.0332,0.376,0.0665,15,Triangular,Without mesh,0,PLA
27.5,0.0351,0.399,0.0702,15,Triangular,Without mesh,0,PLA
29.8,0.0387,0.433,0.0774,15,Triangular,Without mesh,0,PLA
31.2,0.0404,0.453,0.0808,15,Triangular,Without mesh,0,PLA
32.9,0.0429,0.477,0.0858,15,Triangular,Without mesh,0,PLA
34.8,0.0451,0.506,0.0902,15,Triangular,Without mesh,0,PLA
36.5,0.0475,0.53,0.0951,15,Triangular,Without mesh,0,PLA
38.5,0.05,0.559,0.1,15,Triangular,Without mesh,0,PLA
39.9,0.0524,0.579,0.105,15,Triangular,Without mesh,0,PLA
41.9,0.0548,0.608,0.11,15,Triangular,Without mesh,0,PLA
45.4,0.0595,0.659,0.119,15,Triangular,Without mesh,0,PLA
45.5,0.0596,0.661,0.119,15,Triangular,Without mesh,0,PLA
46.9,0.062,0.681,0.124,15,Triangular,Without mesh,0,PLA
49,0.0643,0.711,0.129,15,Triangular,Without mesh,0,PLA
50.6,0.0667,0.735,0.133,15,Triangular,Without mesh,0,PLA
52.3,0.069,0.76,0.138,15,Triangular,Without mesh,0,PLA
53.9,0.0714,0.782,0.143,15,Triangular,Without mesh,0,PLA
55.7,0.0738,0.809,0.148,15,Triangular,Without mesh,0,PLA
57.1,0.0761,0.829,0.152,15,Triangular,Without mesh,0,PLA
59.3,0.0786,0.861,0.157,15,Triangular,Without mesh,0,PLA
60.8,0.0809,0.882,0.162,15,Triangular,Without mesh,0,PLA
62.7,0.0832,0.91,0.166,15,Triangular,Without mesh,0,PLA
64,0.0857,0.929,0.171,15,Triangular,Without mesh,0,PLA
66,0.088,0.958,0.176,15,Triangular,Without mesh,0,PLA
67.1,0.0904,0.974,0.181,15,Triangular,Without mesh,0,PLA
69.2,0.0929,1,0.186,15,Triangular,Without mesh,0,PLA
70.5,0.0951,1.02,0.19,15,Triangular,Without mesh,0,PLA
72.3,0.0975,1.05,0.195,15,Triangular,Without mesh,0,PLA
73.3,0.0998,1.06,0.2,15,Triangular,Without mesh,0,PLA
75.3,0.102,1.09,0.204,15,Triangular,Without mesh,0,PLA
76.9,0.105,1.12,0.209,15,Triangular,Without mesh,0,PLA
78.8,0.107,1.14,0.214,15,Triangular,Without mesh,0,PLA
79.7,0.109,1.16,0.218,15,Triangular,Without mesh,0,PLA
81.7,0.111,1.19,0.223,15,Triangular,Without mesh,0,PLA
82.7,0.114,1.2,0.228,15,Triangular,Without mesh,0,PLA
84.1,0.116,1.22,0.233,15,Triangular,Without mesh,0,PLA
85.8,0.119,1.24,0.237,15,Triangular,Without mesh,0,PLA
86.9,0.121,1.26,0.242,15,Triangular,Without mesh,0,PLA
88.9,0.123,1.29,0.246,15,Triangular,Without mesh,0,PLA
90.3,0.126,1.31,0.251,15,Triangular,Without mesh,0,PLA
92.1,0.128,1.34,0.256,15,Triangular,Without mesh,0,PLA
93.3,0.13,1.35,0.261,15,Triangular,Without mesh,0,PLA
94.5,0.133,1.37,0.265,15,Triangular,Without mesh,0,PLA
95.9,0.135,1.39,0.27,15,Triangular,Without mesh,0,PLA
97.6,0.137,1.42,0.275,15,Triangular,Without mesh,0,PLA
98.6,0.14,1.43,0.279,15,Triangular,Without mesh,0,PLA
100,0.142,1.46,0.284,15,Triangular,Without mesh,0,PLA
101,0.144,1.47,0.289,15,Triangular,Without mesh,0,PLA
104,0.147,1.5,0.293,15,Triangular,Without mesh,0,PLA
104,0.149,1.51,0.298,15,Triangular,Without mesh,0,PLA
106,0.151,1.54,0.303,15,Triangular,Without mesh,0,PLA
107,0.154,1.55,0.307,15,Triangular,Without mesh,0,PLA
109,0.156,1.58,0.312,15,Triangular,Without mesh,0,PLA
109,0.158,1.59,0.317,15,Triangular,Without mesh,0,PLA
112,0.161,1.62,0.321,15,Triangular,Without mesh,0,PLA
113,0.163,1.63,0.326,15,Triangular,Without mesh,0,PLA
115,0.165,1.66,0.331,15,Triangular,Without mesh,0,PLA
115,0.168,1.67,0.335,15,Triangular,Without mesh,0,PLA
117,0.17,1.7,0.34,15,Triangular,Without mesh,0,PLA
118,0.172,1.71,0.345,15,Triangular,Without mesh,0,PLA
120,0.175,1.74,0.349,15,Triangular,Without mesh,0,PLA
121,0.177,1.75,0.354,15,Triangular,Without mesh,0,PLA
123,0.179,1.78,0.359,15,Triangular,Without mesh,0,PLA
123,0.182,1.79,0.363,15,Triangular,Without mesh,0,PLA
125,0.184,1.82,0.368,15,Triangular,Without mesh,0,PLA
126,0.186,1.83,0.373,15,Triangular,Without mesh,0,PLA
128,0.189,1.85,0.377,15,Triangular,Without mesh,0,PLA
129,0.191,1.87,0.382,15,Triangular,Without mesh,0,PLA
130,0.193,1.89,0.387,15,Triangular,Without mesh,0,PLA
132,0.196,1.92,0.391,15,Triangular,Without mesh,0,PLA
133,0.198,1.93,0.396,15,Triangular,Without mesh,0,PLA
134,0.2,1.95,0.401,15,Triangular,Without mesh,0,PLA
136,0.203,1.97,0.406,15,Triangular,Without mesh,0,PLA
137,0.205,1.99,0.41,15,Triangular,Without mesh,0,PLA
138,0.208,2,0.415,15,Triangular,Without mesh,0,PLA
139,0.21,2.02,0.42,15,Triangular,Without mesh,0,PLA
141,0.212,2.04,0.424,15,Triangular,Without mesh,0,PLA
142,0.215,2.06,0.429,15,Triangular,Without mesh,0,PLA
143,0.217,2.08,0.434,15,Triangular,Without mesh,0,PLA
145,0.219,2.11,0.439,15,Triangular,Without mesh,0,PLA
146,0.222,2.12,0.443,15,Triangular,Without mesh,0,PLA
147,0.224,2.14,0.448,15,Triangular,Without mesh,0,PLA
149,0.226,2.16,0.453,15,Triangular,Without mesh,0,PLA
150,0.229,2.18,0.457,15,Triangular,Without mesh,0,PLA
151,0.231,2.2,0.462,15,Triangular,Without mesh,0,PLA
152,0.233,2.21,0.467,15,Triangular,Without mesh,0,PLA
154,0.236,2.24,0.471,15,Triangular,Without mesh,0,PLA
155,0.238,2.25,0.476,15,Triangular,Without mesh,0,PLA
156,0.24,2.27,0.481,15,Triangular,Without mesh,0,PLA
158,0.243,2.29,0.485,15,Triangular,Without mesh,0,PLA
159,0.245,2.31,0.49,15,Triangular,Without mesh,0,PLA
161,0.247,2.33,0.495,15,Triangular,Without mesh,0,PLA
162,0.25,2.35,0.499,15,Triangular,Without mesh,0,PLA
163,0.252,2.37,0.504,15,Triangular,Without mesh,0,PLA
165,0.254,2.39,0.509,15,Triangular,Without mesh,0,PLA
166,0.257,2.42,0.513,15,Triangular,Without mesh,0,PLA
168,0.259,2.44,0.518,15,Triangular,Without mesh,0,PLA
169,0.261,2.46,0.523,15,Triangular,Without mesh,0,PLA
170,0.264,2.47,0.527,15,Triangular,Without mesh,0,PLA
173,0.266,2.51,0.532,15,Triangular,Without mesh,0,PLA
173,0.268,2.51,0.537,15,Triangular,Without mesh,0,PLA
175,0.271,2.54,0.542,15,Triangular,Without mesh,0,PLA
177,0.273,2.56,0.546,15,Triangular,Without mesh,0,PLA
178,0.275,2.58,0.551,15,Triangular,Without mesh,0,PLA
179,0.278,2.6,0.555,15,Triangular,Without mesh,0,PLA
181,0.28,2.62,0.56,15,Triangular,Without mesh,0,PLA
182,0.283,2.65,0.565,15,Triangular,Without mesh,0,PLA
184,0.285,2.67,0.57,15,Triangular,Without mesh,0,PLA
185,0.287,2.69,0.575,15,Triangular,Without mesh,0,PLA
187,0.29,2.71,0.579,15,Triangular,Without mesh,0,PLA
189,0.292,2.74,0.584,15,Triangular,Without mesh,0,PLA
190,0.294,2.75,0.589,15,Triangular,Without mesh,0,PLA
192,0.297,2.78,0.593,15,Triangular,Without mesh,0,PLA
192,0.299,2.79,0.598,15,Triangular,Without mesh,0,PLA
194,0.301,2.81,0.602,15,Triangular,Without mesh,0,PLA
196,0.304,2.84,0.607,15,Triangular,Without mesh,0,PLA
197,0.306,2.86,0.612,15,Triangular,Without mesh,0,PLA
199,0.308,2.88,0.617,15,Triangular,Without mesh,0,PLA
200,0.311,2.9,0.621,15,Triangular,Without mesh,0,PLA
201,0.313,2.92,0.626,15,Triangular,Without mesh,0,PLA
203,0.315,2.94,0.631,15,Triangular,Without mesh,0,PLA
204,0.318,2.96,0.635,15,Triangular,Without mesh,0,PLA
206,0.32,2.99,0.64,15,Triangular,Without mesh,0,PLA
208,0.322,3.01,0.645,15,Triangular,Without mesh,0,PLA
209,0.325,3.03,0.649,15,Triangular,Without mesh,0,PLA
210,0.327,3.05,0.654,15,Triangular,Without mesh,0,PLA
212,0.329,3.07,0.659,15,Triangular,Without mesh,0,PLA
213,0.332,3.09,0.664,15,Triangular,Without mesh,0,PLA
215,0.334,3.12,0.668,15,Triangular,Without mesh,0,PLA
217,0.337,3.14,0.673,15,Triangular,Without mesh,0,PLA
218,0.339,3.16,0.678,15,Triangular,Without mesh,0,PLA
219,0.341,3.18,0.682,15,Triangular,Without mesh,0,PLA
221,0.344,3.2,0.687,15,Triangular,Without mesh,0,PLA
222,0.346,3.23,0.692,15,Triangular,Without mesh,0,PLA
224,0.348,3.25,0.697,15,Triangular,Without mesh,0,PLA
226,0.351,3.27,0.702,15,Triangular,Without mesh,0,PLA
227,0.353,3.29,0.706,15,Triangular,Without mesh,0,PLA
228,0.355,3.31,0.711,15,Triangular,Without mesh,0,PLA
230,0.358,3.33,0.716,15,Triangular,Without mesh,0,PLA
231,0.36,3.35,0.72,15,Triangular,Without mesh,0,PLA
232,0.363,3.37,0.725,15,Triangular,Without mesh,0,PLA
234,0.365,3.39,0.729,15,Triangular,Without mesh,0,PLA
236,0.367,3.42,0.734,15,Triangular,Without mesh,0,PLA
237,0.37,3.44,0.739,15,Triangular,Without mesh,0,PLA
238,0.372,3.46,0.744,15,Triangular,Without mesh,0,PLA
240,0.374,3.48,0.749,15,Triangular,Without mesh,0,PLA
241,0.377,3.5,0.753,15,Triangular,Without mesh,0,PLA
242,0.379,3.52,0.758,15,Triangular,Without mesh,0,PLA
244,0.381,3.54,0.762,15,Triangular,Without mesh,0,PLA
246,0.384,3.57,0.767,15,Triangular,Without mesh,0,PLA
247,0.386,3.58,0.772,15,Triangular,Without mesh,0,PLA
248,0.388,3.6,0.776,15,Triangular,Without mesh,0,PLA
250,0.39,3.62,0.781,15,Triangular,Without mesh,0,PLA
251,0.393,3.64,0.786,15,Triangular,Without mesh,0,PLA
252,0.395,3.66,0.79,15,Triangular,Without mesh,0,PLA
254,0.397,3.68,0.795,15,Triangular,Without mesh,0,PLA
256,0.4,3.71,0.8,15,Triangular,Without mesh,0,PLA
256,0.402,3.72,0.804,15,Triangular,Without mesh,0,PLA
258,0.404,3.75,0.809,15,Triangular,Without mesh,0,PLA
259,0.407,3.76,0.814,15,Triangular,Without mesh,0,PLA
261,0.409,3.78,0.818,15,Triangular,Without mesh,0,PLA
262,0.412,3.8,0.823,15,Triangular,Without mesh,0,PLA
264,0.414,3.82,0.827,15,Triangular,Without mesh,0,PLA
265,0.416,3.85,0.832,15,Triangular,Without mesh,0,PLA
267,0.418,3.87,0.837,15,Triangular,Without mesh,0,PLA
268,0.421,3.89,0.842,15,Triangular,Without mesh,0,PLA
269,0.423,3.91,0.846,15,Triangular,Without mesh,0,PLA
270,0.425,3.93,0.851,15,Triangular,Without mesh,0,PLA
272,0.428,3.95,0.856,15,Triangular,Without mesh,0,PLA
273,0.43,3.97,0.86,15,Triangular,Without mesh,0,PLA
275,0.433,3.99,0.865,15,Triangular,Without mesh,0,PLA
277,0.435,4.01,0.87,15,Triangular,Without mesh,0,PLA
278,0.437,4.03,0.875,15,Triangular,Without mesh,0,PLA
279,0.439,4.05,0.879,15,Triangular,Without mesh,0,PLA
280,0.442,4.07,0.883,15,Triangular,Without mesh,0,PLA
282,0.444,4.1,0.888,15,Triangular,Without mesh,0,PLA
283,0.447,4.11,0.893,15,Triangular,Without mesh,0,PLA
285,0.449,4.14,0.898,15,Triangular,Without mesh,0,PLA
286,0.451,4.15,0.902,15,Triangular,Without mesh,0,PLA
288,0.453,4.18,0.907,15,Triangular,Without mesh,0,PLA
289,0.456,4.19,0.911,15,Triangular,Without mesh,0,PLA
291,0.458,4.22,0.916,15,Triangular,Without mesh,0,PLA
292,0.461,4.23,0.921,15,Triangular,Without mesh,0,PLA
293,0.463,4.26,0.926,15,Triangular,Without mesh,0,PLA
295,0.465,4.28,0.93,15,Triangular,Without mesh,0,PLA
296,0.467,4.3,0.935,15,Triangular,Without mesh,0,PLA
297,0.47,4.32,0.94,15,Triangular,Without mesh,0,PLA
299,0.472,4.34,0.945,15,Triangular,Without mesh,0,PLA
300,0.475,4.36,0.949,15,Triangular,Without mesh,0,PLA
302,0.477,4.38,0.954,15,Triangular,Without mesh,0,PLA
303,0.479,4.4,0.959,15,Triangular,Without mesh,0,PLA
305,0.482,4.42,0.963,15,Triangular,Without mesh,0,PLA
307,0.484,4.45,0.968,15,Triangular,Without mesh,0,PLA
307,0.486,4.46,0.973,15,Triangular,Without mesh,0,PLA
309,0.489,4.48,0.978,15,Triangular,Without mesh,0,PLA
310,0.491,4.5,0.982,15,Triangular,Without mesh,0,PLA
312,0.494,4.53,0.987,15,Triangular,Without mesh,0,PLA
313,0.496,4.54,0.992,15,Triangular,Without mesh,0,PLA
315,0.498,4.57,0.997,15,Triangular,Without mesh,0,PLA
316,0.501,4.58,1,15,Triangular,Without mesh,0,PLA
317,0.503,4.6,1.01,15,Triangular,Without mesh,0,PLA
318,0.505,4.62,1.01,15,Triangular,Without mesh,0,PLA
320,0.508,4.65,1.02,15,Triangular,Without mesh,0,PLA
321,0.51,4.66,1.02,15,Triangular,Without mesh,0,PLA
322,0.512,4.68,1.02,15,Triangular,Without mesh,0,PLA
324,0.515,4.7,1.03,15,Triangular,Without mesh,0,PLA
326,0.517,4.73,1.03,15,Triangular,Without mesh,0,PLA
327,0.519,4.74,1.04,15,Triangular,Without mesh,0,PLA
328,0.522,4.76,1.04,15,Triangular,Without mesh,0,PLA
329,0.524,4.78,1.05,15,Triangular,Without mesh,0,PLA
331,0.526,4.81,1.05,15,Triangular,Without mesh,0,PLA
332,0.529,4.82,1.06,15,Triangular,Without mesh,0,PLA
333,0.531,4.84,1.06,15,Triangular,Without mesh,0,PLA
335,0.533,4.86,1.07,15,Triangular,Without mesh,0,PLA
336,0.536,4.88,1.07,15,Triangular,Without mesh,0,PLA
338,0.538,4.9,1.08,15,Triangular,Without mesh,0,PLA
339,0.54,4.92,1.08,15,Triangular,Without mesh,0,PLA
340,0.543,4.94,1.09,15,Triangular,Without mesh,0,PLA
341,0.545,4.96,1.09,15,Triangular,Without mesh,0,PLA
343,0.547,4.98,1.09,15,Triangular,Without mesh,0,PLA
344,0.55,5,1.1,15,Triangular,Without mesh,0,PLA
346,0.552,5.02,1.1,15,Triangular,Without mesh,0,PLA
346,0.554,5.03,1.11,15,Triangular,Without mesh,0,PLA
348,0.557,5.05,1.11,15,Triangular,Without mesh,0,PLA
350,0.559,5.08,1.12,15,Triangular,Without mesh,0,PLA
351,0.562,5.1,1.12,15,Triangular,Without mesh,0,PLA
352,0.564,5.11,1.13,15,Triangular,Without mesh,0,PLA
354,0.566,5.14,1.13,15,Triangular,Without mesh,0,PLA
355,0.568,5.16,1.14,15,Triangular,Without mesh,0,PLA
356,0.571,5.17,1.14,15,Triangular,Without mesh,0,PLA
358,0.573,5.19,1.15,15,Triangular,Without mesh,0,PLA
359,0.576,5.21,1.15,15,Triangular,Without mesh,0,PLA
361,0.578,5.24,1.16,15,Triangular,Without mesh,0,PLA
362,0.58,5.25,1.16,15,Triangular,Without mesh,0,PLA
363,0.582,5.27,1.16,15,Triangular,Without mesh,0,PLA
364,0.585,5.29,1.17,15,Triangular,Without mesh,0,PLA
366,0.587,5.31,1.17,15,Triangular,Without mesh,0,PLA
367,0.59,5.33,1.18,15,Triangular,Without mesh,0,PLA
369,0.592,5.35,1.18,15,Triangular,Without mesh,0,PLA
370,0.594,5.36,1.19,15,Triangular,Without mesh,0,PLA
371,0.597,5.39,1.19,15,Triangular,Without mesh,0,PLA
372,0.599,5.4,1.2,15,Triangular,Without mesh,0,PLA
374,0.601,5.43,1.2,15,Triangular,Without mesh,0,PLA
375,0.604,5.45,1.21,15,Triangular,Without mesh,0,PLA
377,0.606,5.47,1.21,15,Triangular,Without mesh,0,PLA
378,0.608,5.48,1.22,15,Triangular,Without mesh,0,PLA
379,0.611,5.5,1.22,15,Triangular,Without mesh,0,PLA
380,0.613,5.52,1.23,15,Triangular,Without mesh,0,PLA
382,0.615,5.54,1.23,15,Triangular,Without mesh,0,PLA
383,0.618,5.56,1.24,15,Triangular,Without mesh,0,PLA
385,0.62,5.58,1.24,15,Triangular,Without mesh,0,PLA
386,0.622,5.6,1.24,15,Triangular,Without mesh,0,PLA
387,0.625,5.62,1.25,15,Triangular,Without mesh,0,PLA
388,0.627,5.64,1.25,15,Triangular,Without mesh,0,PLA
390,0.629,5.66,1.26,15,Triangular,Without mesh,0,PLA
391,0.632,5.68,1.26,15,Triangular,Without mesh,0,PLA
392,0.634,5.69,1.27,15,Triangular,Without mesh,0,PLA
394,0.636,5.71,1.27,15,Triangular,Without mesh,0,PLA
395,0.639,5.74,1.28,15,Triangular,Without mesh,0,PLA
397,0.641,5.75,1.28,15,Triangular,Without mesh,0,PLA
398,0.644,5.77,1.29,15,Triangular,Without mesh,0,PLA
399,0.646,5.79,1.29,15,Triangular,Without mesh,0,PLA
400,0.648,5.81,1.3,15,Triangular,Without mesh,0,PLA
402,0.65,5.83,1.3,15,Triangular,Without mesh,0,PLA
403,0.653,5.85,1.31,15,Triangular,Without mesh,0,PLA
404,0.655,5.86,1.31,15,Triangular,Without mesh,0,PLA
406,0.658,5.89,1.32,15,Triangular,Without mesh,0,PLA
407,0.66,5.9,1.32,15,Triangular,Without mesh,0,PLA
408,0.662,5.92,1.32,15,Triangular,Without mesh,0,PLA
409,0.665,5.94,1.33,15,Triangular,Without mesh,0,PLA
410,0.667,5.96,1.33,15,Triangular,Without mesh,0,PLA
412,0.669,5.98,1.34,15,Triangular,Without mesh,0,PLA
413,0.672,6,1.34,15,Triangular,Without mesh,0,PLA
414,0.674,6.01,1.35,15,Triangular,Without mesh,0,PLA
416,0.676,6.04,1.35,15,Triangular,Without mesh,0,PLA
417,0.679,6.05,1.36,15,Triangular,Without mesh,0,PLA
419,0.681,6.08,1.36,15,Triangular,Without mesh,0,PLA
420,0.683,6.1,1.37,15,Triangular,Without mesh,0,PLA
421,0.686,6.11,1.37,15,Triangular,Without mesh,0,PLA
422,0.688,6.13,1.38,15,Triangular,Without mesh,0,PLA
423,0.69,6.15,1.38,15,Triangular,Without mesh,0,PLA
425,0.693,6.17,1.39,15,Triangular,Without mesh,0,PLA
426,0.695,6.19,1.39,15,Triangular,Without mesh,0,PLA
428,0.697,6.21,1.39,15,Triangular,Without mesh,0,PLA
429,0.7,6.22,1.4,15,Triangular,Without mesh,0,PLA
430,0.702,6.24,1.4,15,Triangular,Without mesh,0,PLA
431,0.704,6.26,1.41,15,Triangular,Without mesh,0,PLA
432,0.707,6.27,1.41,15,Triangular,Without mesh,0,PLA
434,0.709,6.3,1.42,15,Triangular,Without mesh,0,PLA
435,0.711,6.31,1.42,15,Triangular,Without mesh,0,PLA
437,0.714,6.34,1.43,15,Triangular,Without mesh,0,PLA
438,0.716,6.35,1.43,15,Triangular,Without mesh,0,PLA
439,0.718,6.37,1.44,15,Triangular,Without mesh,0,PLA
440,0.721,6.39,1.44,15,Triangular,Without mesh,0,PLA
441,0.723,6.41,1.45,15,Triangular,Without mesh,0,PLA
442,0.725,6.42,1.45,15,Triangular,Without mesh,0,PLA
444,0.728,6.45,1.46,15,Triangular,Without mesh,0,PLA
445,0.73,6.46,1.46,15,Triangular,Without mesh,0,PLA
446,0.732,6.48,1.46,15,Triangular,Without mesh,0,PLA
448,0.735,6.5,1.47,15,Triangular,Without mesh,0,PLA
449,0.737,6.52,1.47,15,Triangular,Without mesh,0,PLA
450,0.739,6.54,1.48,15,Triangular,Without mesh,0,PLA
452,0.742,6.55,1.48,15,Triangular,Without mesh,0,PLA
453,0.744,6.58,1.49,15,Triangular,Without mesh,0,PLA
454,0.747,6.59,1.49,15,Triangular,Without mesh,0,PLA
456,0.749,6.61,1.5,15,Triangular,Without mesh,0,PLA
457,0.751,6.63,1.5,15,Triangular,Without mesh,0,PLA
458,0.754,6.65,1.51,15,Triangular,Without mesh,0,PLA
460,0.756,6.67,1.51,15,Triangular,Without mesh,0,PLA
461,0.758,6.69,1.52,15,Triangular,Without mesh,0,PLA
462,0.761,6.71,1.52,15,Triangular,Without mesh,0,PLA
463,0.763,6.72,1.53,15,Triangular,Without mesh,0,PLA
465,0.765,6.75,1.53,15,Triangular,Without mesh,0,PLA
466,0.768,6.76,1.54,15,Triangular,Without mesh,0,PLA
467,0.77,6.78,1.54,15,Triangular,Without mesh,0,PLA
468,0.772,6.8,1.54,15,Triangular,Without mesh,0,PLA
470,0.775,6.82,1.55,15,Triangular,Without mesh,0,PLA
471,0.777,6.84,1.55,15,Triangular,Without mesh,0,PLA
472,0.779,6.85,1.56,15,Triangular,Without mesh,0,PLA
474,0.782,6.87,1.56,15,Triangular,Without mesh,0,PLA
475,0.784,6.89,1.57,15,Triangular,Without mesh,0,PLA
477,0.786,6.92,1.57,15,Triangular,Without mesh,0,PLA
477,0.789,6.92,1.58,15,Triangular,Without mesh,0,PLA
479,0.791,6.95,1.58,15,Triangular,Without mesh,0,PLA
480,0.794,6.97,1.59,15,Triangular,Without mesh,0,PLA
481,0.796,6.99,1.59,15,Triangular,Without mesh,0,PLA
482,0.798,7,1.6,15,Triangular,Without mesh,0,PLA
484,0.8,7.02,1.6,15,Triangular,Without mesh,0,PLA
485,0.803,7.05,1.61,15,Triangular,Without mesh,0,PLA
486,0.805,7.06,1.61,15,Triangular,Without mesh,0,PLA
488,0.807,7.08,1.61,15,Triangular,Without mesh,0,PLA
489,0.81,7.1,1.62,15,Triangular,Without mesh,0,PLA
490,0.812,7.11,1.62,15,Triangular,Without mesh,0,PLA
491,0.814,7.13,1.63,15,Triangular,Without mesh,0,PLA
493,0.817,7.15,1.63,15,Triangular,Without mesh,0,PLA
494,0.819,7.18,1.64,15,Triangular,Without mesh,0,PLA
496,0.822,7.2,1.64,15,Triangular,Without mesh,0,PLA
497,0.824,7.21,1.65,15,Triangular,Without mesh,0,PLA
498,0.826,7.23,1.65,15,Triangular,Without mesh,0,PLA
500,0.829,7.25,1.66,15,Triangular,Without mesh,0,PLA
501,0.831,7.27,1.66,15,Triangular,Without mesh,0,PLA
502,0.833,7.29,1.67,15,Triangular,Without mesh,0,PLA
504,0.836,7.31,1.67,15,Triangular,Without mesh,0,PLA
505,0.838,7.33,1.68,15,Triangular,Without mesh,0,PLA
506,0.84,7.35,1.68,15,Triangular,Without mesh,0,PLA
507,0.843,7.36,1.69,15,Triangular,Without mesh,0,PLA
509,0.845,7.38,1.69,15,Triangular,Without mesh,0,PLA
509,0.847,7.39,1.69,15,Triangular,Without mesh,0,PLA
511,0.85,7.42,1.7,15,Triangular,Without mesh,0,PLA
512,0.852,7.43,1.7,15,Triangular,Without mesh,0,PLA
514,0.854,7.46,1.71,15,Triangular,Without mesh,0,PLA
515,0.857,7.47,1.71,15,Triangular,Without mesh,0,PLA
516,0.859,7.5,1.72,15,Triangular,Without mesh,0,PLA
517,0.861,7.51,1.72,15,Triangular,Without mesh,0,PLA
519,0.864,7.53,1.73,15,Triangular,Without mesh,0,PLA
520,0.866,7.54,1.73,15,Triangular,Without mesh,0,PLA
521,0.869,7.57,1.74,15,Triangular,Without mesh,0,PLA
522,0.871,7.58,1.74,15,Triangular,Without mesh,0,PLA
524,0.873,7.6,1.75,15,Triangular,Without mesh,0,PLA
525,0.876,7.61,1.75,15,Triangular,Without mesh,0,PLA
526,0.878,7.64,1.76,15,Triangular,Without mesh,0,PLA
527,0.88,7.65,1.76,15,Triangular,Without mesh,0,PLA
529,0.883,7.68,1.77,15,Triangular,Without mesh,0,PLA
530,0.885,7.69,1.77,15,Triangular,Without mesh,0,PLA
531,0.887,7.71,1.77,15,Triangular,Without mesh,0,PLA
532,0.89,7.72,1.78,15,Triangular,Without mesh,0,PLA
534,0.892,7.74,1.78,15,Triangular,Without mesh,0,PLA
535,0.894,7.76,1.79,15,Triangular,Without mesh,0,PLA
536,0.897,7.78,1.79,15,Triangular,Without mesh,0,PLA
537,0.899,7.8,1.8,15,Triangular,Without mesh,0,PLA
539,0.901,7.82,1.8,15,Triangular,Without mesh,0,PLA
539,0.904,7.83,1.81,15,Triangular,Without mesh,0,PLA
541,0.906,7.85,1.81,15,Triangular,Without mesh,0,PLA
542,0.908,7.87,1.82,15,Triangular,Without mesh,0,PLA
544,0.911,7.89,1.82,15,Triangular,Without mesh,0,PLA
